3621 20998
1707 762 0.0625
3508 423 0.0625
2758 968 0.0625
2134 38 0.1875
1415 1416 0.0625
2338 1017 0.125
531 532 0.0625
531 533 0.0625
531 530 0.0625
3563 425 0.0625
1088 555 0.0625
412 300 0.0625
162 1235 0.25
1198 978 0.0625
2117 226 0.0625
8 2148 0.0625
1045 1044 0.0625
379 3062 0.0625
2216 1420 0.0625
506 2652 0.0625
805 609 0.0625
274 1831 0.0625
2 1448 0.0625
2714 380 0.0625
37 1668 0.0625
3378 2756 0.125
1843 679 0.0625
121 549 0.0625
1612 2461 0.0625
1582 514 0.1875
503 280 0.1875
8 2144 0.0625
2790 1006 0.0625
1069 1133 0.0625
434 433 0.3125
3395 2339 0.0625
2553 144 0.0625
974 975 0.125
637 2288 0.0625
637 2289 0.0625
2479 2477 0.0625
3395 2340 0.0625
1276 865 0.0625
827 2915 0.0625
317 793 0.0625
217 2794 0.0625
1636 1637 0.0625
1434 1147 0.125
794 655 0.0625
1126 1125 0.1875
1126 1124 0.0625
1126 1123 0.1875
587 1155 0.0625
1577 3236 0.0625
631 535 0.0625
361 1052 0.0625
168 2589 0.0625
694 1434 0.0625
25 1087 0.125
160 1059 0.0625
3225 430 0.0625
1135 1429 0.0625
3066 207 0.125
1961 1960 0.0625
45 336 0.0625
1797 260 0.0625
1327 103 0.0625
2526 1172 0.0625
502 1661 0.125
2197 2002 0.0625
2341 219 0.0625
1951 604 0.125
1809 1807 0.0625
542 170 0.0625
2690 2689 0.0625
628 37 0.125
231 826 0.0625
231 825 0.125
231 824 0.0625
231 823 0.0625
580 1452 0.0625
580 1451 0.0625
12 1196 0.125
239 2150 0.0625
1382 2057 0.0625
1331 1202 0.0625
1060 792 0.125
506 787 0.0625
2117 107 0.0625
148 272 0.0625
292 99 0.1875
77 104 0.0625
1140 249 0.0625
3311 2831 0.0625
144 143 0.125
144 414 0.0625
37 198 0.1875
317 1395 0.0625
3084 902 0.0625
626 2606 0.125
1430 3511 0.0625
168 430 0.0625
1110 1835 0.0625
1110 1836 0.0625
144 148 0.0625
1372 818 0.1875
170 1280 0.125
37 194 0.1875
1294 1758 0.0625
762 41 0.0625
645 160 0.0625
954 953 0.0625
203 551 0.0625
332 1208 0.125
505 982 0.0625
2151 1609 0.0625
2843 559 0.125
3091 167 0.125
491 508 0.0625
354 1068 0.0625
835 1297 0.125
162 208 0.0625
1052 2611 0.0625
435 294 0.125
957 1635 0.0625
1341 2986 0.0625
353 2716 0.0625
2558 2559 0.0625
300 1052 0.0625
2116 2115 0.0625
2116 2114 0.0625
243 857 0.0625
675 300 0.0625
312 257 0.0625
2247 2098 0.0625
138 154 0.0625
571 857 0.0625
571 856 0.0625
164 3470 0.0625
2098 865 0.0625
470 906 0.1875
2282 3350 0.125
2282 3351 0.125
865 130 0.0625
2560 790 0.0625
3249 3248 0.0625
430 200 0.0625
168 1562 0.125
124 2487 0.125
1535 242 0.0625
1925 592 0.0625
701 227 0.0625
701 226 0.0625
234 1059 0.0625
2547 77 0.125
771 2391 0.0625
2674 1875 0.0625
1861 10 0.0625
2830 2829 0.0625
2353 771 0.0625
3358 94 0.0625
296 295 0.0625
1167 203 0.0625
593 1742 0.125
2807 370 0.0625
652 2821 0.0625
851 922 0.0625
0 286 0.125
851 921 0.0625
230 2202 0.1875
1823 2633 0.0625
1412 902 0.0625
1903 2939 0.0625
545 1582 0.0625
2665 266 0.0625
828 312 0.0625
622 716 0.0625
2975 780 0.0625
652 1151 0.125
45 94 0.0625
1007 0 0.0625
45 96 0.0625
491 1539 0.0625
83 997 0.0625
239 1749 0.0625
2960 198 0.0625
1100 983 0.0625
1666 897 0.0625
772 791 0.0625
1366 313 0.0625
308 129 0.125
346 733 0.0625
235 236 0.125
3178 3179 0.0625
1341 1988 0.0625
1341 1989 0.0625
2585 2586 0.0625
1433 2096 0.0625
487 417 0.1875
761 312 0.125
1664 230 0.0625
1278 1277 0.0625
600 790 0.125
1666 572 0.125
2060 554 0.0625
1170 3081 0.0625
1073 231 0.0625
2144 151 0.0625
523 74 0.0625
300 2500 0.0625
300 2501 0.0625
43 1496 0.0625
194 105 0.3125
863 1978 0.0625
863 1979 0.0625
1783 1784 0.0625
1783 1785 0.0625
1783 1786 0.0625
1023 19 0.25
2369 2368 0.0625
245 1678 0.0625
248 752 0.0625
476 42 0.0625
2788 2787 0.0625
2320 2200 0.0625
772 427 0.125
1240 580 0.0625
133 1843 0.0625
734 1442 0.0625
2591 2590 0.0625
347 2268 0.0625
314 717 0.0625
664 663 0.125
1398 1401 0.0625
1398 1400 0.0625
983 694 0.125
127 125 0.1875
127 126 0.1875
2200 1120 0.125
610 3064 0.0625
878 276 0.0625
226 542 0.125
6 1071 0.0625
2348 2627 0.0625
286 627 0.125
2939 738 0.0625
1110 704 0.0625
88 40 0.125
3053 506 0.0625
1427 405 0.0625
1457 1055 0.0625
762 1404 0.0625
762 1405 0.0625
87 2691 0.0625
1293 592 0.25
87 2692 0.0625
655 61 0.125
946 2516 0.0625
1295 425 0.0625
850 715 0.0625
1169 77 0.1875
